window_id,n_test_samples,n_fraud,fraud_rate,auprc,roc_auc,accuracy,f1_score,precision,recall,optimal_threshold,P@10,P@50,P@100,P@200,P@300,P@500
2,151541,1639,0.010815554866339802,0.17979360361564,0.8941324663209494,0.6169023564579883,0.05016279183913876,0.025772502605830337,0.9353264185478951,0.11698339879512787,1.0,0.94,0.82,0.635,0.5066666666666667,0.376
3,151562,1786,0.01178395640068091,0.23359687840020235,0.89601752465466,0.7396247080402739,0.07383416649064752,0.038532199985302405,0.8807390817469205,0.25385209918022156,1.0,0.94,0.91,0.795,0.6933333333333334,0.516
4,151538,1873,0.012359936121632858,0.2752471000090963,0.9102654782903743,0.8076983990814185,0.10089167258029681,0.05353985198768747,0.8729311265349706,0.32696613669395447,1.0,0.98,0.96,0.845,0.7433333333333333,0.58
5,151493,1961,0.012944492484801277,0.35164356585717255,0.9409390137616922,0.845841061963259,0.13323931116389548,0.07184885722291158,0.9153493115757266,0.3732704222202301,1.0,0.98,0.97,0.9,0.82,0.704
6,157744,1930,0.01223501369307232,0.250606045475742,0.9014342978086467,0.8141926158839639,0.09931780468317866,0.05278975565137854,0.8373056994818653,0.46232306957244873,1.0,0.96,0.88,0.82,0.7233333333333334,0.586
7,157067,1422,0.009053461261754539,0.21661310093503797,0.8776080110175347,0.747521758230564,0.05652835934526075,0.029253878355084955,0.8354430379746836,0.38895946741104126,1.0,0.94,0.9,0.745,0.6133333333333333,0.464
