model_name,n_features,n_test_windows,total_test_samples,overall_fraud_rate,overall_accuracy,overall_auprc,overall_roc_auc,overall_f1,overall_precision,overall_recall,mean_window_auprc,std_window_auprc,overall_P@10,overall_P@50,overall_P@100,overall_P@200,overall_P@300,overall_P@500
Baseline,21,6,920945,0.011521860697435786,0.7622235855561407,0.25129031461411677,0.9038130827383781,0.07860001094004435,0.04113667594517459,0.8802186410328904,0.2512500490488152,0.05877500763942489,1.0,1.0,0.99,0.975,0.95,0.928
Full Model,49,6,920945,0.011521860697435786,0.840776593607653,0.2965298521756293,0.9308933255214366,0.10989437902148841,0.058730024849314534,0.8530769955706342,0.29648294001868336,0.07589054867255089,1.0,1.0,0.99,0.97,0.96,0.932
