window_id,n_samples_baseline,n_fraud_baseline,fraud_rate_baseline,accuracy_baseline,precision_baseline,recall_baseline,f1_score_baseline,auprc_baseline,roc_auc_baseline,P@10_baseline,P@50_baseline,P@100_baseline,P@200_baseline,P@300_baseline,P@500_baseline,n_samples_full,n_fraud_full,fraud_rate_full,accuracy_full,precision_full,recall_full,f1_score_full,auprc_full,roc_auc_full,P@10_full,P@50_full,P@100_full,P@200_full,P@300_full,P@500_full,delta_auprc,delta_roc_auc,delta_accuracy,delta_precision,delta_recall,delta_f1_score,delta_P@100,delta_P@200,delta_P@300,delta_P@500,lift_auprc_pct,lift_roc_auc_pct,lift_accuracy_pct,lift_precision_pct,lift_recall_pct,lift_f1_score_pct,lift_P@100_pct,lift_P@200_pct,lift_P@300_pct,lift_P@500_pct
2,151541,1639,0.010815554866339802,0.6169023564579883,0.025772502605830337,0.9353264185478951,0.05016279183913876,0.17979360361564,0.8941324663209494,1.0,0.94,0.82,0.635,0.5066666666666667,0.376,151541,1639,0.010815554866339802,0.7932770669323813,0.043963133640552994,0.8730933496034167,0.08371113516043172,0.2075921495826722,0.9108977637608736,1.0,0.9,0.75,0.65,0.57,0.456,0.027798545967032184,0.016765297439924165,0.17637471047439301,0.018190631034722658,-0.06223306894447844,0.03354834332129296,-0.06999999999999995,0.015000000000000013,0.06333333333333324,0.08000000000000002,15.46136528407642,1.8750350817879706,28.59037712242887,70.58154424162159,-6.6536203451368126,66.87893839738001,-8.536585355443185,2.3622047206894434,12.49999997532893,21.27659568809416
3,151562,1786,0.01178395640068091,0.7396247080402739,0.038532199985302405,0.8807390817469205,0.07383416649064752,0.23359687840020235,0.89601752465466,1.0,0.94,0.91,0.795,0.6933333333333334,0.516,151562,1786,0.01178395640068091,0.8399005027645452,0.06176160954497602,0.8868980963045913,0.11548135457295958,0.2933679730609792,0.9376268710583916,1.0,0.94,0.92,0.875,0.76,0.596,0.059771094660776874,0.041609346403731595,0.10027579472427128,0.023229409559673612,0.006159014557670761,0.04164718808231206,0.010000000000000009,0.07999999999999996,0.06666666666666665,0.07999999999999996,25.5872830211811,4.6438094359070075,13.557658836788683,60.285706410942275,0.699300698506705,56.406389477591745,1.098901097693516,10.062893069103273,9.61538460151627,15.503875938945969
4,151538,1873,0.012359936121632858,0.8076983990814185,0.05353985198768747,0.8729311265349706,0.10089167258029681,0.2752471000090963,0.9102654782903743,1.0,0.98,0.96,0.845,0.7433333333333333,0.58,151538,1873,0.012359936121632858,0.8814290804946614,0.08382892899622485,0.8654564869193807,0.15285242809995286,0.352894938538927,0.9479193031013614,1.0,0.98,0.96,0.885,0.82,0.682,0.0776478385298307,0.03765382481098711,0.0737306814132429,0.030289077008537377,-0.0074746396155899175,0.05196075551965605,0.0,0.040000000000000036,0.07666666666666666,0.10200000000000009,28.210229370323,4.136576160214416,9.128491700096301,56.57295513213856,-0.8562691121689294,51.50152998334592,0.0,4.733727805048847,10.313901331416277,17.586206866230693
5,151493,1961,0.012944492484801277,0.845841061963259,0.07184885722291158,0.9153493115757266,0.13323931116389548,0.35164356585717255,0.9409390137616922,1.0,0.98,0.97,0.9,0.82,0.704,151493,1961,0.012944492484801277,0.8767995880997802,0.08885935115443312,0.9204487506374299,0.16207237137469696,0.4138948188387936,0.9614607911547192,1.0,0.98,0.98,0.935,0.8866666666666667,0.768,0.06225125298162104,0.020521777393026963,0.03095852613652117,0.017010493931521542,0.0050994390617032925,0.02883306021080148,0.010000000000000009,0.03500000000000003,0.06666666666666676,0.06400000000000006,17.702940946138707,2.18098910461529,3.660087868997904,23.675385179742687,0.5571030634582377,21.64005483256654,1.0309278339887353,3.8888888845679044,8.130081290898287,9.090909077995876
6,157744,1930,0.01223501369307232,0.8141926158839639,0.05278975565137854,0.8373056994818653,0.09931780468317866,0.250606045475742,0.9014342978086467,1.0,0.96,0.88,0.82,0.7233333333333334,0.586,157744,1930,0.01223501369307232,0.9113627142712243,0.08883733624454149,0.6746113989637306,0.15699987941637525,0.23868252123826764,0.9153733666505921,1.0,0.9,0.83,0.75,0.7066666666666667,0.568,-0.011923524237474364,0.013939068841945401,0.09717009838726043,0.036047580593162945,-0.16269430051813472,0.05768207473319659,-0.050000000000000044,-0.06999999999999995,-0.01666666666666672,-0.018000000000000016,-4.7578757197418735,1.5463211085231112,11.934534454407709,68.28518045881464,-19.430693046100718,58.07828146868344,-5.681818175361576,-8.536585355443185,-2.304147462252338,-3.071672349707047
7,157067,1422,0.009053461261754539,0.747521758230564,0.029253878355084955,0.8354430379746836,0.05652835934526075,0.21661310093503797,0.8776080110175347,1.0,0.94,0.9,0.745,0.6133333333333333,0.464,157067,1422,0.009053461261754539,0.7425939248855584,0.03144669197136405,0.9205344585091421,0.06081583348819922,0.2724652388524604,0.927115086944356,0.9,0.88,0.87,0.77,0.68,0.538,0.05585213791742241,0.04950707592682124,-0.004927833345005572,0.0021928136162790955,0.0850914205344585,0.004287474142938466,-0.030000000000000027,0.025000000000000022,0.06666666666666676,0.07400000000000001,25.78428424619135,5.641137643332281,-0.6592227295266788,7.49580453813534,10.185185172993826,7.584642676263156,-3.3333333296296326,3.355704693482279,10.869565199669204,15.94827582769768
